;"SL";"SW";"PL";"PW";"Set";"Vers";"Virg"
"c1";5.1;3.5;1.4;0.2;1;0;0
"c2";4.9;3;1.4;0.2;1;0;0
"c3";4.7;3.2;1.3;0.2;1;0;0
"c4";4.6;3.1;1.5;0.2;1;0;0
"c5";5;3.6;1.4;0.2;1;0;0
"c6";5.4;3.9;1.7;0.4;1;0;0
"c7";4.6;3.4;1.4;0.3;1;0;0
"c8";5;3.4;1.5;0.2;1;0;0
"c9";4.4;2.9;1.4;0.2;1;0;0
"c10";4.9;3.1;1.5;0.1;1;0;0
"c11";5.4;3.7;1.5;0.2;1;0;0
"c12";4.8;3.4;1.6;0.2;1;0;0
"c13";4.8;3;1.4;0.1;1;0;0
"c14";4.3;3;1.1;0.1;1;0;0
"c15";5.8;4;1.2;0.2;1;0;0
"c16";5.7;4.4;1.5;0.4;1;0;0
"c17";5.4;3.9;1.3;0.4;1;0;0
"c18";5.1;3.5;1.4;0.3;1;0;0
"c19";5.7;3.8;1.7;0.3;1;0;0
"c20";5.1;3.8;1.5;0.3;1;0;0
"c21";5.4;3.4;1.7;0.2;1;0;0
"c22";5.1;3.7;1.5;0.4;1;0;0
"c23";4.6;3.6;1;0.2;1;0;0
"c24";5.1;3.3;1.7;0.5;1;0;0
"c25";4.8;3.4;1.9;0.2;1;0;0
"c26";5;3;1.6;0.2;1;0;0
"c27";5;3.4;1.6;0.4;1;0;0
"c28";5.2;3.5;1.5;0.2;1;0;0
"c29";5.2;3.4;1.4;0.2;1;0;0
"c30";4.7;3.2;1.6;0.2;1;0;0
"c31";4.8;3.1;1.6;0.2;1;0;0
"c32";5.4;3.4;1.5;0.4;1;0;0
"c33";5.2;4.1;1.5;0.1;1;0;0
"c34";5.5;4.2;1.4;0.2;1;0;0
"c35";4.9;3.1;1.5;0.1;1;0;0
"c36";5;3.2;1.2;0.2;1;0;0
"c37";5.5;3.5;1.3;0.2;1;0;0
"c38";4.9;3.1;1.5;0.1;1;0;0
"c39";4.4;3;1.3;0.2;1;0;0
"c40";5.1;3.4;1.5;0.2;1;0;0
"c41";5;3.5;1.3;0.3;1;0;0
"c42";4.5;2.3;1.3;0.3;1;0;0
"c43";4.4;3.2;1.3;0.2;1;0;0
"c44";5;3.5;1.6;0.6;1;0;0
"c45";5.1;3.8;1.9;0.4;1;0;0
"c46";4.8;3;1.4;0.3;1;0;0
"c47";5.1;3.8;1.6;0.2;1;0;0
"c48";4.6;3.2;1.4;0.2;1;0;0
"c49";5.3;3.7;1.5;0.2;1;0;0
"c50";5;3.3;1.4;0.2;1;0;0
"c51";7;3.2;4.7;1.4;0;1;0
"c52";6.4;3.2;4.5;1.5;0;1;0
"c53";6.9;3.1;4.9;1.5;0;1;0
"c54";5.5;2.3;4;1.3;0;1;0
"c55";6.5;2.8;4.6;1.5;0;1;0
"c56";5.7;2.8;4.5;1.3;0;1;0
"c57";6.3;3.3;4.7;1.6;0;1;0
"c58";4.9;2.4;3.3;1;0;1;0
"c59";6.6;2.9;4.6;1.3;0;1;0
"c60";5.2;2.7;3.9;1.4;0;1;0
"c61";5;2;3.5;1;0;1;0
"c62";5.9;3;4.2;1.5;0;1;0
"c63";6;2.2;4;1;0;1;0
"c64";6.1;2.9;4.7;1.4;0;1;0
"c65";5.6;2.9;3.6;1.3;0;1;0
"c66";6.7;3.1;4.4;1.4;0;1;0
"c67";5.6;3;4.5;1.5;0;1;0
"c68";5.8;2.7;4.1;1;0;1;0
"c69";6.2;2.2;4.5;1.5;0;1;0
"c70";5.6;2.5;3.9;1.1;0;1;0
"c71";5.9;3.2;4.8;1.8;0;1;0
"c72";6.1;2.8;4;1.3;0;1;0
"c73";6.3;2.5;4.9;1.5;0;1;0
"c74";6.1;2.8;4.7;1.2;0;1;0
"c75";6.4;2.9;4.3;1.3;0;1;0
